spend time: 10, cur_state: 15, cur_clip:15
spend time: 10, cur_state: 15, cur_clip:15
spend time: 10, cur_state: 15, cur_clip:15
spend time: 10, cur_state: 17, cur_clip:3
spend time: 10, cur_state: 17, cur_clip:3
spend time: 10, cur_state: 17, cur_clip:17
spend time: 10, cur_state: 17, cur_clip:17
spend time: 10, cur_state: 17, cur_clip:17
spend time: 10, cur_state: 17, cur_clip:17
spend time: 10, cur_state: 17, cur_clip:17
spend time: 10, cur_state: 18, cur_clip:18
spend time: 10, cur_state: 18, cur_clip:18
spend time: 10, cur_state: 19, cur_clip:4
spend time: 10, cur_state: 19, cur_clip:4
spend time: 10, cur_state: 19, cur_clip:4
spend time: 10, cur_state: 19, cur_clip:4
spend time: 10, cur_state: 19, cur_clip:4
spend time: 10, cur_state: 19, cur_clip:4
spend time: 10, cur_state: 19, cur_clip:5
spend time: 10, cur_state: 19, cur_clip:5
spend time: 10, cur_state: 19, cur_clip:10
spend time: 10, cur_state: 19, cur_clip:10
spend time: 10, cur_state: 20, cur_clip:20
spend time: 10, cur_state: 20, cur_clip:20
spend time: 10, cur_state: 20, cur_clip:20
spend time: 10, cur_state: 20, cur_clip:20
spend time: 10, cur_state: 20, cur_clip:20
spend time: 10, cur_state: 21, cur_clip:3
spend time: 10, cur_state: 21, cur_clip:7
spend time: 10, cur_state: 21, cur_clip:7
spend time: 10, cur_state: 21, cur_clip:7
spend time: 10, cur_state: 21, cur_clip:7
spend time: 10, cur_state: 22, cur_clip:11
spend time: 10, cur_state: 22, cur_clip:11
spend time: 10, cur_state: 22, cur_clip:11
spend time: 10, cur_state: 22, cur_clip:11
spend time: 10, cur_state: 22, cur_clip:11
spend time: 10, cur_state: 22, cur_clip:11
spend time: 10, cur_state: 22, cur_clip:11
spend time: 10, cur_state: 23, cur_clip:6
spend time: 10, cur_state: 23, cur_clip:6
spend time: 10, cur_state: 23, cur_clip:6
spend time: 10, cur_state: 23, cur_clip:6
spend time: 10, cur_state: 23, cur_clip:6
spend time: 10, cur_state: 23, cur_clip:6
spend time: 10, cur_state: 23, cur_clip:8
spend time: 10, cur_state: 23, cur_clip:8
spend time: 10, cur_state: 23, cur_clip:8
spend time: 10, cur_state: 23, cur_clip:12
spend time: 10, cur_state: 23, cur_clip:12
spend time: 10, cur_state: 23, cur_clip:12
spend time: 10, cur_state: 23, cur_clip:12
spend time: 10, cur_state: 23, cur_clip:12
spend time: 10, cur_state: 24, cur_clip:4
spend time: 10, cur_state: 24, cur_clip:4
spend time: 10, cur_state: 24, cur_clip:6
spend time: 10, cur_state: 24, cur_clip:12
spend time: 10, cur_state: 24, cur_clip:12
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 24, cur_clip:24
spend time: 10, cur_state: 25, cur_clip:5
spend time: 10, cur_state: 26, cur_clip:9
spend time: 10, cur_state: 26, cur_clip:9
spend time: 10, cur_state: 27, cur_clip:27
spend time: 10, cur_state: 30, cur_clip:6
spend time: 10, cur_state: 30, cur_clip:6
spend time: 10, cur_state: 30, cur_clip:10
spend time: 10, cur_state: 30, cur_clip:10
spend time: 10, cur_state: 30, cur_clip:15
spend time: 10, cur_state: 30, cur_clip:15
spend time: 10, cur_state: 32, cur_clip:8
spend time: 10, cur_state: 32, cur_clip:8
spend time: 10, cur_state: 32, cur_clip:8
spend time: 10, cur_state: 32, cur_clip:16
spend time: 10, cur_state: 32, cur_clip:16
spend time: 10, cur_state: 32, cur_clip:16
spend time: 10, cur_state: 32, cur_clip:16
spend time: 10, cur_state: 32, cur_clip:16
spend time: 10, cur_state: 36, cur_clip:9
spend time: 10, cur_state: 36, cur_clip:12
spend time: 10, cur_state: 36, cur_clip:12
spend time: 10, cur_state: 36, cur_clip:12
spend time: 10, cur_state: 36, cur_clip:12
spend time: 10, cur_state: 36, cur_clip:12
spend time: 10, cur_state: 36, cur_clip:18
spend time: 10, cur_state: 36, cur_clip:18
spend time: 10, cur_state: 36, cur_clip:18
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 13, cur_clip:13
spend time: 11, cur_state: 17, cur_clip:17
spend time: 11, cur_state: 17, cur_clip:17
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 19, cur_clip:19
spend time: 11, cur_state: 21, cur_clip:21
spend time: 11, cur_state: 21, cur_clip:21
spend time: 11, cur_state: 21, cur_clip:21
spend time: 11, cur_state: 21, cur_clip:21
spend time: 11, cur_state: 21, cur_clip:21
spend time: 11, cur_state: 22, cur_clip:22
spend time: 11, cur_state: 22, cur_clip:22
spend time: 11, cur_state: 22, cur_clip:22
spend time: 11, cur_state: 22, cur_clip:22
